Wavelength (nm),ANSI IES RP 27.1-22 (Eye),ANSI IES RP 27.1-22 (Skin),IEC 62471-6:2022 (Eye/Skin)
356,0.000153,0.000153,0.000153
357,0.000147,0.000147,0.000147
358,0.000141,0.000141,0.000141
359,0.000136,0.000136,0.000136
360,0.00013,0.00013,0.00013
361,0.000126,0.000126,0.000126
362,0.000122,0.000122,0.000122
363,0.000118,0.000118,0.000118
364,0.000114,0.000114,0.000114
365,0.00011,0.00011,0.00011
366,0.000106,0.000106,0.000106
367,0.000103,0.000103,0.000103
368,0.000099,0.000099,0.000099
369,0.000096,0.000096,0.000096
370,0.000093,0.000093,0.000093
371,0.00009,0.00009,0.00009
372,0.000086,0.000086,0.000086
373,0.000083,0.000083,0.000083
374,0.00008,0.00008,0.00008
375,0.000077,0.000077,0.000077
376,0.000074,0.000074,0.000074
377,0.000072,0.000072,0.000072
378,0.000069,0.000069,0.000069
379,0.000066,0.000066,0.000066
380,0.000064,0.000064,0.000064
381,0.000062,0.000062,0.000062
382,0.000059,0.000059,0.000059
383,0.000057,0.000057,0.000057
384,0.000055,0.000055,0.000055
385,0.000053,0.000053,0.000053
386,0.000051,0.000051,0.000051
387,0.000049,0.000049,0.000049
388,0.000047,0.000047,0.000047
389,0.000046,0.000046,0.000046
390,0.000044,0.000044,0.000044
391,0.000042,0.000042,0.000042
392,0.000041,0.000041,0.000041
393,0.000039,0.000039,0.000039
394,0.000037,0.000037,0.000037
395,0.000036,0.000036,0.000036
396,0.000035,0.000035,0.000035
397,0.000033,0.000033,0.000033
398,0.000032,0.000032,0.000032
399,0.000031,0.000031,0.000031
400,0.00003,0.00003,0.00003
